"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Publication Stage","Open Access","Source","EID"
"Kumar A.; Prakash S.; Srivastava A.K.; Kumar R.; Pathak V.K.","Kumar, Aawish (57226074719); Prakash, Surya (57226556562); Srivastava, Ashish Kumar (57210985454); Kumar, Rajesh (57226522348); Pathak, Vimal Kumar (57191861651)","57226074719; 57226556562; 57210985454; 57226522348; 57191861651","A Novel Modeling Approach for Dent Identification and Sizing for Oil and Gas Pipeline","2023","Lecture Notes in Mechanical Engineering","","","","457","469","12","0","10.1007/978-981-19-4208-2_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138013010&doi=10.1007%2f978-981-19-4208-2_33&partnerID=40&md5=1877c4f6a894be467c33e116c0450b56","Mechanical Engineering Department, BML Munjal University, Gurgaon, India; Mechanical Engineering Department, Manipal University Jaipur, Jaipur, India; Chitkara College of Applied Engineering, Chitkara University, Punjab, Rajpura, India","Kumar A., Mechanical Engineering Department, BML Munjal University, Gurgaon, India; Prakash S., Mechanical Engineering Department, BML Munjal University, Gurgaon, India; Srivastava A.K., Mechanical Engineering Department, Manipal University Jaipur, Jaipur, India; Kumar R., Chitkara College of Applied Engineering, Chitkara University, Punjab, Rajpura, India; Pathak V.K., Mechanical Engineering Department, Manipal University Jaipur, Jaipur, India","Conference paper","Final","","Scopus","2-s2.0-85138013010"
"Das Dawn D.; Khan A.; Shaikh S.H.; Pal R.K.","Das Dawn, Debapratim (56543808800); Khan, Abhinandan (37665182000); Shaikh, Soharab Hossain (36761579500); Pal, Rajat Kumar (7201402133)","56543808800; 37665182000; 36761579500; 7201402133","A 2-Tier Bengali Dataset for Evaluation of Hard and Soft Classification Approaches","2023","IETE Journal of Research","","","","","","","0","10.1080/03772063.2023.2173672","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148585377&doi=10.1080%2f03772063.2023.2173672&partnerID=40&md5=29aa02b0b9f6159d793719f4807038ec","Department of Computer Science and Engineering, University of Calcutta, Kolkata, India; Product Development and Diversification Division, ARP Engineering, Kolkata, India; Department of Computer Science and Engineering, BML Munjal University, Gurgaon, 122413, India","Das Dawn D., Department of Computer Science and Engineering, University of Calcutta, Kolkata, India; Khan A., Product Development and Diversification Division, ARP Engineering, Kolkata, India; Shaikh S.H., Department of Computer Science and Engineering, BML Munjal University, Gurgaon, 122413, India; Pal R.K., Department of Computer Science and Engineering, University of Calcutta, Kolkata, India","Article","Article in press","","Scopus","2-s2.0-85148585377"
"Turukmane A.V.; Alhebaishi N.; Alshareef A.M.; Mirza O.M.; Bhardwaj A.; Singh B.","Turukmane, Anil V. (55595737600); Alhebaishi, Nawaf (57192958341); Alshareef, Abdulrhman M. (55305472800); Mirza, Olfat M. (57195937469); Bhardwaj, Arpit (49361153100); Singh, Bharat (57214772297)","55595737600; 57192958341; 55305472800; 57195937469; 49361153100; 57214772297","Multispectral image analysis for monitoring by IoT based wireless communication using secure locations protocol and classification by deep learning techniques","2022","Optik","271","","170122","","","","1","10.1016/j.ijleo.2022.170122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140996385&doi=10.1016%2fj.ijleo.2022.170122&partnerID=40&md5=750df919cf3fa992d53d3c3ea6692501","Department of Computer Science & Engineering, VIT-AP University, Amaravati, Vijaywada, India; Department of Information Systems, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computer Science, College of Computers and Information Systems, Umm Al-Qura University, Makkah, Saudi Arabia; BML Munjal University, India; Mechanical Engineering, GLA University, Uttar Pradesh, Mathura, India","Turukmane A.V., Department of Computer Science & Engineering, VIT-AP University, Amaravati, Vijaywada, India; Alhebaishi N., Department of Information Systems, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Alshareef A.M., Department of Information Systems, Faculty of Computing and Information Technology, King Abdulaziz University, Jeddah, Saudi Arabia; Mirza O.M., Department of Computer Science, College of Computers and Information Systems, Umm Al-Qura University, Makkah, Saudi Arabia; Bhardwaj A., BML Munjal University, India; Singh B., Mechanical Engineering, GLA University, Uttar Pradesh, Mathura, India","Article","Final","","Scopus","2-s2.0-85140996385"
"Aggarwal S.; Srinivas R.; Puppala H.; Magner J.","Aggarwal, Shubham (57211838783); Srinivas, Rallapalli (56715239200); Puppala, Harish (57189240188); Magner, Joe (7005668048)","57211838783; 56715239200; 57189240188; 7005668048","Integrated decision support for promoting crop rotation based sustainable agricultural management using geoinformatics and stochastic optimization","2022","Computers and Electronics in Agriculture","200","","107213","","","","1","10.1016/j.compag.2022.107213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134581092&doi=10.1016%2fj.compag.2022.107213&partnerID=40&md5=0c7540b81f544de95e4cc07c5829878a","Department of Civil Engineering, Birla Institute of Technology and Science, Rajasthan, Pilani, India; School of Engineering and Technology, BML Munjal University, Haryana, India; Department of Bioproducts and Biosystems Engineering, University of Minnesota, United States","Aggarwal S., Department of Civil Engineering, Birla Institute of Technology and Science, Rajasthan, Pilani, India; Srinivas R., Department of Civil Engineering, Birla Institute of Technology and Science, Rajasthan, Pilani, India; Puppala H., School of Engineering and Technology, BML Munjal University, Haryana, India; Magner J., Department of Bioproducts and Biosystems Engineering, University of Minnesota, United States","Article","Final","","Scopus","2-s2.0-85134581092"
"Khurana P.; Ganesan G.; Kumar G.; Sharma K.","Khurana, Parul (57222276297); Ganesan, Geetha (57224952805); Kumar, Gulshan (56398590900); Sharma, Kiran (57192438995)","57222276297; 57224952805; 56398590900; 57192438995","A Comparative Analysis of Unified Informetrics with Scopus and Web of Science","2022","Journal of Scientometric Research","11","2","","146","154","8","2","10.5530/jscires.11.2.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139223238&doi=10.5530%2fjscires.11.2.16&partnerID=40&md5=74a381492047b492dcf2679d20ae52b1","School of Computer Applications, Lovely Professional University, Punjab, Phagwara, India; Advanced Computing Research Society, Porur, Chennai, India; School of Computer Science and Engineering, Lovely Professional University, Phagwara, Punjab, Jalandhar, India; School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, India","Khurana P., School of Computer Applications, Lovely Professional University, Punjab, Phagwara, India; Ganesan G., Advanced Computing Research Society, Porur, Chennai, India; Kumar G., School of Computer Science and Engineering, Lovely Professional University, Phagwara, Punjab, Jalandhar, India; Sharma K., School of Engineering and Technology, BML Munjal University, Sidhrawali, Haryana, Gurugram, India","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139223238"
"Swain S.; Patra S.K.","Swain, Suchismita (57193698759); Patra, Saroj Kumar (54396107000)","57193698759; 54396107000","Advancements in cooling techniques and its impact on machining: A review","2023","Materials Today: Proceedings","","","","","","","0","10.1016/j.matpr.2023.02.438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150025292&doi=10.1016%2fj.matpr.2023.02.438&partnerID=40&md5=191bfc7944751719ad5952c34eea0dda","Department of Operations and IT, ICFAI Business School (IBS), IFHE University, Telangana, Hyderabad, 501203, India; School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India; GITA Autonomous College, Odisha, Bhubaneswar, 752054, India","Swain S., Department of Operations and IT, ICFAI Business School (IBS), IFHE University, Telangana, Hyderabad, 501203, India; Patra S.K., School of Engineering and Technology, BML Munjal University, Haryana, Gurugram, 122413, India, GITA Autonomous College, Odisha, Bhubaneswar, 752054, India","Article","Article in press","","Scopus","2-s2.0-85150025292"
"Rana A.; Rana A.S.","Rana, Anchal (57542173700); Rana, Abhimanyu Singh (36182549900)","57542173700; 36182549900","Investigation of VxOy thin films using Raman Spectroscopy: Role of oxygen vacancies and structural phase transformation on thermochromic properties","2023","Materials Today: Proceedings","","","","","","","0","10.1016/j.matpr.2023.02.058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149210223&doi=10.1016%2fj.matpr.2023.02.058&partnerID=40&md5=bdf9cc06a5601bd0631e62ed1e291f8a","Centre for Advanced Materials and Devices, BML Munjal University, Sidhrawali, Gurugram 122413, India","Rana A., Centre for Advanced Materials and Devices, BML Munjal University, Sidhrawali, Gurugram 122413, India; Rana A.S., Centre for Advanced Materials and Devices, BML Munjal University, Sidhrawali, Gurugram 122413, India","Article","Article in press","","Scopus","2-s2.0-85149210223"
"Upreti H.; Uddin Z.; Pandey A.K.; Joshi N.","Upreti, Himanshu (57193790155); Uddin, Ziya (50862185600); Pandey, Alok Kumar (35463604600); Joshi, Navneet (57189042159)","57193790155; 50862185600; 35463604600; 57189042159","Particle swarm optimization based numerical study for pressure, flow, and heat transfer over a rotating disk with temperature dependent nanofluid properties","2023","Numerical Heat Transfer; Part A: Applications","83","8","","815","844","29","5","10.1080/10407782.2022.2156412","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145916990&doi=10.1080%2f10407782.2022.2156412&partnerID=40&md5=507693e56346870971d96cb6d9817a90","Department of Allied Sciences, Graphic Era Hill University, Uttarakhand, Haldwani, India; Department of Applied Sciences, SoET, BML Munjal University, Haryana, Gurgaon, India; Department of Mathematics, Graphic Era Deemed to be University, Uttarakhand, Dehradun, India; Department of Mathematics, Graphic Era Hill University, Uttarakhand, Bhimtal, India","Upreti H., Department of Allied Sciences, Graphic Era Hill University, Uttarakhand, Haldwani, India; Uddin Z., Department of Applied Sciences, SoET, BML Munjal University, Haryana, Gurgaon, India; Pandey A.K., Department of Mathematics, Graphic Era Deemed to be University, Uttarakhand, Dehradun, India; Joshi N., Department of Mathematics, Graphic Era Hill University, Uttarakhand, Bhimtal, India","Article","Final","","Scopus","2-s2.0-85145916990"
"Joshi M.P.; Pandit D.; Tiwari S.R.; Choudhary A.","Joshi, Maheshkumar P. (7202602255); Pandit, Deepak (57196439796); Tiwari, Shalini Rahul (56294876400); Choudhary, Archana (57726432500)","7202602255; 57196439796; 56294876400; 57726432500","Entrepreneurship education and entrepreneurial communities in India: does gender really play a role?","2023","Journal of Enterprising Communities","","","","","","","0","10.1108/JEC-10-2022-0145","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151447682&doi=10.1108%2fJEC-10-2022-0145&partnerID=40&md5=7f38189dbe694d21f6a86ec127409374","Management Area, School of Business, George Mason University, Fairfax, VA, United States; Institute of Innovation and Entrepreneurship, School of Management, BML Munjal University, Gurgaon, India; Strategy, Innovation and Entrepreneurship, Institute of Management Technology, Ghaziabad, India; Birla School of Management, Birla Global University, Bhubaneswar, India","Joshi M.P., Management Area, School of Business, George Mason University, Fairfax, VA, United States; Pandit D., Institute of Innovation and Entrepreneurship, School of Management, BML Munjal University, Gurgaon, India; Tiwari S.R., Strategy, Innovation and Entrepreneurship, Institute of Management Technology, Ghaziabad, India; Choudhary A., Birla School of Management, Birla Global University, Bhubaneswar, India","Article","Article in press","","Scopus","2-s2.0-85151447682"
"Arora J.; Sahi G.K.; Yates N.","Arora, Jaskiran (57209296460); Sahi, Gurjeet Kaur (55750368300); Yates, Nicholas (57659771600)","57209296460; 55750368300; 57659771600","Will teachers continue to teach online post-COVID-19?","2023","Behaviour and Information Technology","42","8","","1110","1126","16","0","10.1080/0144929X.2022.2060861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129235216&doi=10.1080%2f0144929X.2022.2060861&partnerID=40&md5=b0eacc51fdbb10ebd3540abd2a4f1a7f","School of Management, BML Munjal University, Gurgaon, India; Department of Commerce, University of Jammu, Jammu, India; Center for Educational Innovation, Zayed University, Abu Dhabi, United Arab Emirates","Arora J., School of Management, BML Munjal University, Gurgaon, India; Sahi G.K., Department of Commerce, University of Jammu, Jammu, India; Yates N., Center for Educational Innovation, Zayed University, Abu Dhabi, United Arab Emirates","Article","Final","","Scopus","2-s2.0-85129235216"
"Kumar P.; Sudarshan K.","Kumar, Payal (57193952177); Sudarshan, Kasturirangan (57761618200)","57193952177; 57761618200","Workplace spirituality and policing","2022","Workplace Spirituality: Making a Difference","","","","181","195","14","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132688251&partnerID=40&md5=b6d15f3306c0daf6c5ba9ebdace779ab","Indian School of Hospitality, India; BML Munjal University, India","Kumar P., Indian School of Hospitality, India; Sudarshan K., BML Munjal University, India","Book chapter","Final","","Scopus","2-s2.0-85132688251"
"Aoudni Y.; Kalra A.; Azhagumurugan R.; Ahmed M.A.; Wanjari A.K.; Singh B.; Bhardwaj A.","Aoudni, Yassine (24461237700); Kalra, Ashima (57192692040); Azhagumurugan, R. (56157910700); Ahmed, Mohammed Altaf (57089540900); Wanjari, Atul Krishnarao (54920231500); Singh, Bharat (57214772297); Bhardwaj, Arpit (49361153100)","24461237700; 57192692040; 56157910700; 57089540900; 54920231500; 57214772297; 49361153100","Metaheuristics based tuning of robust PID controllers for controlling voltage and current on photonics and optics","2022","Optical and Quantum Electronics","54","12","809","","","","0","10.1007/s11082-022-04139-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139263528&doi=10.1007%2fs11082-022-04139-z&partnerID=40&md5=f8a603579577d8bc8f84c6063435bc5f","Department of Computers and Information Technology, Faculty of Sciences and Arts, Northern Border University, Turaif, Arar, 91431, Saudi Arabia; Department of Electronics and Communication Engineering, Chandigarh Engineering College, Punjab, India; Department of Electrical and Electronics Engineering, Sri Sai Ram Engineering College, West Tambaram, Chennai, 600044, India; Department of Computer Engineering, College of Computer Engineering & Sciences, Prince Sattam Bin Abdulaziz University, Al-Kharj, 11942, Saudi Arabia; Sitaramji Chaudhari Science College Warud, Dist-Amravati, Maharashtra, Warud, India; GLA University Mathura, UP, Mathura, India; BML Munjal University, Kapriwas, India","Aoudni Y., Department of Computers and Information Technology, Faculty of Sciences and Arts, Northern Border University, Turaif, Arar, 91431, Saudi Arabia; Kalra A., Department of Electronics and Communication Engineering, Chandigarh Engineering College, Punjab, India; Azhagumurugan R., Department of Electrical and Electronics Engineering, Sri Sai Ram Engineering College, West Tambaram, Chennai, 600044, India; Ahmed M.A., Department of Computer Engineering, College of Computer Engineering & Sciences, Prince Sattam Bin Abdulaziz University, Al-Kharj, 11942, Saudi Arabia; Wanjari A.K., Sitaramji Chaudhari Science College Warud, Dist-Amravati, Maharashtra, Warud, India; Singh B., GLA University Mathura, UP, Mathura, India; Bhardwaj A., BML Munjal University, Kapriwas, India","Article","Final","","Scopus","2-s2.0-85139263528"
